Class,Description
A01G25/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing horticulture cultivation of vegetables flowers rice fruit vines hops or seaweed watering picking fruits like propagating unicellular algae gardens fields sports grounds special apparatus adaptations fertilisingliquids nozzles outlets spraying
A01G27/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing horticulture cultivation of vegetables flowers rice fruit vines hops or seaweed watering picking fruits like propagating unicellular algae selfacting devices eg flowerpots
A01G29/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing horticulture cultivation of vegetables flowers rice fruit vines hops or seaweed watering picking fruits like propagating unicellular algae root feeders injecting fertilisers roots
A01G31/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing horticulture cultivation of vegetables flowers rice fruit vines hops or seaweed watering picking fruits like propagating unicellular algae soilless eg hydroponics growth substrates therefor
A01H1/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing new plants or nontransgenic processes for obtaining them plant reproduction by tissue culture techniques modifying genotypes characterised associated natural traits takes precedence
A01H3/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing new plants or nontransgenic processes for obtaining them plant reproduction by tissue culture techniques modifying phenotypes eg symbiosis bacteria takes precedence
A01H4/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing new plants or nontransgenic processes for obtaining them plant reproduction by tissue culture techniques therefor
A01H5/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing new plants or nontransgenic processes for obtaining them plant reproduction by tissue culture techniques angiosperms ie flowering characterised parts otherwise botanic taxonomy
A01H6/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing new plants or nontransgenic processes for obtaining them plant reproduction by tissue culture techniques angiosperms ie flowering characterised botanic taxonomy
A01H7/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing new plants or nontransgenic processes for obtaining them plant reproduction by tissue culture techniques gymnosperms eg conifers
A01H9/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing new plants or nontransgenic processes for obtaining them plant reproduction by tissue culture techniques pteridophytes eg ferns clubmosses horsetails
A01H11/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing new plants or nontransgenic processes for obtaining them plant reproduction by tissue culture techniques bryophytes eg mosses liverworts
A01H13/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing new plants or nontransgenic processes for obtaining them plant reproduction by tissue culture techniques algae unicellular
A01H15/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing new plants or nontransgenic processes for obtaining them plant reproduction by tissue culture techniques fungi lichens fungal microorganisms
A01H17/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing new plants or nontransgenic processes for obtaining them plant reproduction by tissue culture techniques symbiotic parasitic combinations including one eg mycorrhiza lichens
A01J1/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing manufacture of dairy products chemical matters see subclass devices accessories milking hand stools
A01J3/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing manufacture of dairy products chemical matters see subclass milking catheters
A01J5/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing manufacture of dairy products chemical matters see subclass milking machines devices take precedence
A01J7/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing manufacture of dairy products chemical matters see subclass accessories milking machines devices
A01J9/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing manufacture of dairy products chemical matters see subclass milk receptacles
A01J11/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing manufacture of dairy products chemical matters see subclass apparatus treating milk concentration evaporation drying preservation preparations
A01J13/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing manufacture of dairy products chemical matters see subclass tanks treating cream
A01J15/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing manufacture of dairy products chemical matters see subclass manufacturing butter
A01J17/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing manufacture of dairy products chemical matters see subclass kneading machines butter like
A01J19/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing manufacture of dairy products chemical matters see subclass hand devices forming slabs butter like
A01J21/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing manufacture of dairy products chemical matters see subclass machines forming slabs butter like
A01J23/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing manufacture of dairy products chemical matters see subclass devices dividing bulk butter like
A01J25/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing manufacture of dairy products chemical matters see subclass cheesemaking coating cheese
A01J27/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing manufacture of dairy products chemical matters see subclass aftertreatment cheese coating
A01J99/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing manufacture of dairy products chemical matters see subclass subject matter provided groups
A01K1/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing care of birds fishes insects rearing or breeding animals not otherwise provided for new breeds housing equipment therefor
A01K3/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing care of birds fishes insects rearing or breeding animals not otherwise provided for new breeds pasturing equipment eg tethering devices grids preventing cattle straying electrified wire fencing electric circuits apparatus supplying
A01K5/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing care of birds fishes insects rearing or breeding animals not otherwise provided for new breeds feeding devices stock game takes precedence poultry wagons stacks
A01K7/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing care of birds fishes insects rearing or breeding animals not otherwise provided for new breeds watering equipment stock game
A01K9/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing care of birds fishes insects rearing or breeding animals not otherwise provided for new breeds sucking apparatus young stock devices mixing solid food liquids
A01K11/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing care of birds fishes insects rearing or breeding animals not otherwise provided for new breeds marking poultry
A01K13/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing care of birds fishes insects rearing or breeding animals not otherwise provided for new breeds devices grooming caring eg currycombs fetlock rings tailholders part harness preventing cribbiting washing protection weather conditions
A01K14/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing care of birds fishes insects rearing or breeding animals not otherwise provided for new breeds removing fleece live sheep similar handheld clippers shavers plurality cutting edges specially adapted shearing eg
A01K15/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing care of birds fishes insects rearing or breeding animals not otherwise provided for new breeds devices taming eg noserings hobbles overturning general training exercising equipment covering boxes
A01K17/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing care of birds fishes insects rearing or breeding animals not otherwise provided for new breeds dehorners horn trainers
A01K19/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing care of birds fishes insects rearing or breeding animals not otherwise provided for new breeds weaning apparatus
A01K21/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing care of birds fishes insects rearing or breeding animals not otherwise provided for new breeds devices assisting preventing mating
A01K23/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing care of birds fishes insects rearing or breeding animals not otherwise provided for new breeds manure urine pouches
A01K25/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing care of birds fishes insects rearing or breeding animals not otherwise provided for new breeds muzzles
A01K27/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing care of birds fishes insects rearing or breeding animals not otherwise provided for new breeds leads collars eg dogs
